,State,Year,Quarter,District,Registered_users,Region
168,Andhra Pradesh,2022,1,Spsr Nellore,1431664,Southern Region
169,Andhra Pradesh,2022,1,Prakasam,1408929,Southern Region
170,Andhra Pradesh,2022,2,Visakhapatnam,3226029,Southern Region
171,Andhra Pradesh,2022,2,East Godavari,2564165,Southern Region
172,Andhra Pradesh,2022,2,Krishna,2552107,Southern Region
173,Andhra Pradesh,2022,2,Guntur,2514794,Southern Region
174,Andhra Pradesh,2022,2,Chittoor,2392549,Southern Region
175,Andhra Pradesh,2022,2,Anantapur,1928213,Southern Region
176,Andhra Pradesh,2022,2,Kurnool,1825280,Southern Region
177,Andhra Pradesh,2022,2,West Godavari,1714357,Southern Region
178,Andhra Pradesh,2022,2,Spsr Nellore,1509927,Southern Region
179,Andhra Pradesh,2022,2,Prakasam,1487589,Southern Region
180,Andhra Pradesh,2022,3,Visakhapatnam,3397514,Southern Region
181,Andhra Pradesh,2022,3,East Godavari,2702234,Southern Region
182,Andhra Pradesh,2022,3,Krishna,2685215,Southern Region
183,Andhra Pradesh,2022,3,Guntur,2647100,Southern Region
184,Andhra Pradesh,2022,3,Chittoor,2517657,Southern Region
185,Andhra Pradesh,2022,3,Anantapur,2030824,Southern Region
186,Andhra Pradesh,2022,3,Kurnool,1924127,Southern Region
187,Andhra Pradesh,2022,3,West Godavari,1805967,Southern Region
188,Andhra Pradesh,2022,3,Spsr Nellore,1588875,Southern Region
189,Andhra Pradesh,2022,3,Prakasam,1567520,Southern Region
190,Andhra Pradesh,2022,4,Visakhapatnam,3566854,Southern Region
191,Andhra Pradesh,2022,4,East Godavari,2835087,Southern Region
192,Andhra Pradesh,2022,4,Krishna,2813645,Southern Region
193,Andhra Pradesh,2022,4,Guntur,2774365,Southern Region
194,Andhra Pradesh,2022,4,Chittoor,2636036,Southern Region
195,Andhra Pradesh,2022,4,Anantapur,2128066,Southern Region
196,Andhra Pradesh,2022,4,Kurnool,2018290,Southern Region
197,Andhra Pradesh,2022,4,West Godavari,1893310,Southern Region
198,Andhra Pradesh,2022,4,Spsr Nellore,1663684,Southern Region
199,Andhra Pradesh,2022,4,Prakasam,1642503,Southern Region
200,Arunachal Pradesh,2018,1,Papum Pare,7649,North-Eastern Region
201,Arunachal Pradesh,2018,1,West Kameng,2202,North-Eastern Region
202,Arunachal Pradesh,2018,1,East Siang,1803,North-Eastern Region
203,Arunachal Pradesh,2018,1,Tawang,1525,North-Eastern Region
204,Arunachal Pradesh,2018,1,Changlang,1208,North-Eastern Region
205,Arunachal Pradesh,2018,1,Lohit,1207,North-Eastern Region
206,Arunachal Pradesh,2018,1,West Siang,846,North-Eastern Region
207,Arunachal Pradesh,2018,1,Namsai,737,North-Eastern Region
208,Arunachal Pradesh,2018,1,Lower Dibang Valley,601,North-Eastern Region
209,Arunachal Pradesh,2018,1,Upper Subansiri,572,North-Eastern Region
210,Arunachal Pradesh,2018,2,Papum Pare,11418,North-Eastern Region
211,Arunachal Pradesh,2018,2,West Kameng,3442,North-Eastern Region
212,Arunachal Pradesh,2018,2,East Siang,2646,North-Eastern Region
213,Arunachal Pradesh,2018,2,Tawang,2266,North-Eastern Region
214,Arunachal Pradesh,2018,2,Changlang,2014,North-Eastern Region
215,Arunachal Pradesh,2018,2,Lohit,1898,North-Eastern Region
216,Arunachal Pradesh,2018,2,Namsai,1276,North-Eastern Region
217,Arunachal Pradesh,2018,2,West Siang,1224,North-Eastern Region
218,Arunachal Pradesh,2018,2,Lower Dibang Valley,893,North-Eastern Region
219,Arunachal Pradesh,2018,2,Upper Subansiri,883,North-Eastern Region
220,Arunachal Pradesh,2018,3,Papum Pare,16009,North-Eastern Region
221,Arunachal Pradesh,2018,3,West Kameng,4765,North-Eastern Region
222,Arunachal Pradesh,2018,3,East Siang,3590,North-Eastern Region
223,Arunachal Pradesh,2018,3,Tawang,3112,North-Eastern Region
224,Arunachal Pradesh,2018,3,Changlang,2889,North-Eastern Region
225,Arunachal Pradesh,2018,3,Lohit,2612,North-Eastern Region
226,Arunachal Pradesh,2018,3,Namsai,1862,North-Eastern Region
227,Arunachal Pradesh,2018,3,West Siang,1652,North-Eastern Region
228,Arunachal Pradesh,2018,3,Lower Dibang Valley,1286,North-Eastern Region
229,Arunachal Pradesh,2018,3,Tirap,1226,North-Eastern Region
230,Arunachal Pradesh,2018,4,Papum Pare,21342,North-Eastern Region
231,Arunachal Pradesh,2018,4,West Kameng,6492,North-Eastern Region
232,Arunachal Pradesh,2018,4,East Siang,4813,North-Eastern Region
233,Arunachal Pradesh,2018,4,Tawang,4085,North-Eastern Region
234,Arunachal Pradesh,2018,4,Changlang,4036,North-Eastern Region
235,Arunachal Pradesh,2018,4,Lohit,3588,North-Eastern Region
236,Arunachal Pradesh,2018,4,Namsai,2495,North-Eastern Region
237,Arunachal Pradesh,2018,4,West Siang,2117,North-Eastern Region
238,Arunachal Pradesh,2018,4,Lower Dibang Valley,1827,North-Eastern Region
239,Arunachal Pradesh,2018,4,Tirap,1684,North-Eastern Region
240,Arunachal Pradesh,2019,1,Papum Pare,26298,North-Eastern Region
241,Arunachal Pradesh,2019,1,West Kameng,8115,North-Eastern Region
242,Arunachal Pradesh,2019,1,East Siang,5899,North-Eastern Region
243,Arunachal Pradesh,2019,1,Changlang,5210,North-Eastern Region
244,Arunachal Pradesh,2019,1,Tawang,5023,North-Eastern Region
245,Arunachal Pradesh,2019,1,Lohit,4416,North-Eastern Region
246,Arunachal Pradesh,2019,1,Namsai,3153,North-Eastern Region
247,Arunachal Pradesh,2019,1,West Siang,2656,North-Eastern Region
248,Arunachal Pradesh,2019,1,Lower Dibang Valley,2314,North-Eastern Region
249,Arunachal Pradesh,2019,1,Tirap,2082,North-Eastern Region
250,Arunachal Pradesh,2019,2,Papum Pare,32800,North-Eastern Region
251,Arunachal Pradesh,2019,2,West Kameng,9782,North-Eastern Region
252,Arunachal Pradesh,2019,2,East Siang,7319,North-Eastern Region
253,Arunachal Pradesh,2019,2,Changlang,6884,North-Eastern Region
