State,Year,Quarter,Registered_users,App_opens,Region
Andhra_Pradesh,2019,3,1066546,30077671,Southern Region
Andhra_Pradesh,2019,3,619592,17768733,Southern Region
Andhra_Pradesh,2019,3,394375,13065845,Southern Region
Andhra_Pradesh,2019,3,574109,15833900,Southern Region
Andhra_Pradesh,2019,3,662102,14227407,Southern Region
Andhra_Pradesh,2019,3,1032733,34638738,Southern Region
Andhra_Pradesh,2019,4,1195228,38299189,Southern Region
Andhra_Pradesh,2019,4,496266,16353822,Southern Region
Andhra_Pradesh,2019,4,1620235,70749983,Southern Region
Andhra_Pradesh,2019,4,673522,21639748,Southern Region
Andhra_Pradesh,2019,4,873033,30278539,Southern Region
Andhra_Pradesh,2019,4,846885,29676997,Southern Region
Andhra_Pradesh,2019,4,1158708,37846179,Southern Region
Andhra_Pradesh,2019,4,1199971,39407473,Southern Region
Andhra_Pradesh,2019,4,697154,23608360,Southern Region
Andhra_Pradesh,2019,4,443810,17515311,Southern Region
Andhra_Pradesh,2019,4,646642,21543798,Southern Region
Andhra_Pradesh,2019,4,750078,19393528,Southern Region
Andhra_Pradesh,2019,4,1156351,44888591,Southern Region
Andhra_Pradesh,2020,1,1329664,46142746,Southern Region
Andhra_Pradesh,2020,1,552007,20975989,Southern Region
Andhra_Pradesh,2020,1,1763581,77558624,Southern Region
Andhra_Pradesh,2020,1,748655,26870693,Southern Region
Andhra_Pradesh,2020,1,971850,36900103,Southern Region
Andhra_Pradesh,2020,1,936293,34198350,Southern Region
Andhra_Pradesh,2020,1,1289678,45282758,Southern Region
Andhra_Pradesh,2020,1,1331602,46079408,Southern Region
Andhra_Pradesh,2020,1,775440,28879364,Southern Region
Andhra_Pradesh,2020,1,490683,21562104,Southern Region
Andhra_Pradesh,2020,1,717865,26166193,Southern Region
Andhra_Pradesh,2020,1,843835,24542868,Southern Region
Andhra_Pradesh,2020,1,1270907,51354573,Southern Region
Andhra_Pradesh,2020,2,1459116,45884498,Southern Region
Andhra_Pradesh,2020,2,608002,23808009,Southern Region
Andhra_Pradesh,2020,2,1904719,69684456,Southern Region
Andhra_Pradesh,2020,2,830709,32255276,Southern Region
